MET,	Altitude,	Pressure,	Temperature,	DeltaH,	Acceleration X,	Y,	Z,	Orientation X,	Y,	Z,	GPS Latitude,	GPS Longitude,	Software State
0:0:18,88.18,101374.00,26.00,88.18,-9.69,-0.36,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:18,87.93,101371.00,26.00,-0.25,-9.68,-0.38,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.35,101374.00,26.00,0.42,-9.70,-0.38,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.26,101370.00,26.00,-0.08,-9.68,-0.41,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,87.85,101379.00,26.00,-0.42,-9.68,-0.40,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.26,101375.00,26.00,0.42,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.10,101370.00,26.00,-0.17,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.18,101374.00,26.00,0.08,-9.67,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.10,101374.00,26.10,-0.08,-9.67,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:19,88.18,101371.00,26.10,0.08,-9.67,-0.38,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,87.52,101372.00,26.10,-0.66,-9.66,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,87.93,101371.00,26.10,0.42,-9.67,-0.39,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,88.35,101376.00,26.10,0.42,-9.66,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,87.77,101376.00,26.10,-0.58,-9.68,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,88.10,101370.00,26.10,0.33,-9.66,-0.38,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,88.10,101375.00,26.10,0.00,-9.67,-0.38,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,87.77,101373.00,26.10,-0.33,-9.68,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:20,88.01,101373.00,26.10,0.25,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,87.77,101365.00,26.10,-0.25,-9.70,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,87.85,101377.00,26.10,0.08,-9.70,-0.38,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.01,101376.00,26.10,0.17,-9.66,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.18,101373.00,26.10,0.17,-9.67,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.60,101371.00,26.10,0.42,-9.69,-0.41,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.35,101373.00,26.10,-0.25,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.35,101368.00,26.10,0.00,-9.67,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:21,88.10,101372.00,26.10,-0.25,-9.70,-0.40,-0.22,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.01,101373.00,26.10,-0.08,-9.68,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.26,101373.00,26.10,0.25,-9.68,-0.38,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.18,101374.00,26.10,-0.08,-9.67,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.26,101372.00,26.10,0.08,-9.67,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.26,101366.00,26.10,0.00,-9.69,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.35,101369.00,26.10,0.08,-9.66,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.18,101374.00,26.10,-0.17,-9.66,-0.37,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:22,88.01,101372.00,26.10,-0.17,-9.67,-0.37,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.18,101372.00,26.10,0.17,-9.66,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.01,101373.00,26.10,-0.17,-9.66,-0.38,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,87.85,101374.00,26.10,-0.17,-9.71,-0.38,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.10,101373.00,26.10,0.25,-9.68,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,87.60,101375.00,26.10,-0.50,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.01,101373.00,26.10,0.42,-9.66,-0.41,-0.22,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.10,101371.00,26.10,0.08,-9.66,-0.38,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:23,88.35,101376.00,26.10,0.25,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:24,88.43,101369.00,26.10,0.08,-9.66,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
